,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
237,2019-07-28 11,14.62,632144.0,16.9,,43238.30369357045
238,2019-07-28 12,15.52,1112192.0,19.3,,71661.85567010309
239,2019-07-28 13,15.16,1942.37,24.2,,128.12467018469655
240,2019-07-28 14,15.22,2382999.0,25.5,,156570.23653088041
241,2019-07-28 15,15.24,2247329.0,27.2,,147462.53280839894
242,2019-07-28 16,15.16,2382595.0,27.0,,157163.2585751979
243,2019-07-28 17,14.74,2507482.0,27.7,,170114.11126187246
244,2019-07-28 18,17.16,2102.12,28.2,,122.50116550116549
245,2019-07-28 19,17.92,842391.0,27.5,,47008.42633928571
246,2019-07-28 20,17.4,342825.0,26.3,,19702.586206896554
247,2019-07-28 21,17.2,70959.0,25.2,,4125.523255813953
248,2019-07-29 11,36.38,544913.0,19.8,,14978.367234744364
249,2019-07-29 12,31.34,1301445.0,23.8,,41526.64326738992
250,2019-07-29 13,33.48,1938686.0,28.3,,57905.794504181606
251,2019-07-29 14,35.84,2389.96,29.0,,66.68415178571428
252,2019-07-29 15,36.78,2583274.0,29.2,,70235.8346927678
253,2019-07-29 16,35.38,2060682.0,30.4,,58244.262295081964
254,2019-07-29 17,32.44,2013673.0,30.6,,62073.766954377315
255,2019-07-29 18,26.38,1694507.0,31.0,,64234.53373768006
256,2019-07-29 19,22.22,1820588.0,30.7,,81934.65346534654
257,2019-07-29 20,21.28,383.41,29.1,,18.017387218045112
258,2019-07-29 21,20.16,83398.0,26.2,,4136.805555555556
259,2019-07-30 10,37.46,21393.0,14.9,,571.0891617725574
260,2019-07-30 11,35.66000000000001,640897.0,18.7,,17972.43409983174
261,2019-07-30 12,30.06,910891.0,21.6,,30302.428476380574
262,2019-07-30 13,32.940000000000005,1608262.0,25.7,,48823.98299939283
263,2019-07-30 14,39.06,1532172.0,28.0,,39226.11367127496
264,2019-07-30 15,40.18,1830753.0,28.7,,45563.78795420608
265,2019-07-30 16,38.9,1514076.0,28.8,,38922.262210796915
266,2019-07-30 17,31.3,1428447.0,29.3,,45637.28434504792
267,2019-07-30 18,27.52,1013.38,30.0,,36.823401162790695
268,2019-07-30 19,29.18,1594006.0,29.6,,54626.66209732694
269,2019-07-30 20,24.2,368525.0,30.1,,15228.305785123968
270,2019-07-30 21,22.840000000000003,62828.0,26.2,,2750.7880910683007
271,2019-07-31 10,38.84,21925.0,15.1,,564.4953656024717
272,2019-07-31 11,39.0,520379.0,17.3,,13343.051282051281
273,2019-07-31 12,35.16,1306187.0,22.7,,37149.800910125145
274,2019-07-31 13,39.64,1899798.0,27.9,,47926.286579212916
275,2019-07-31 14,40.94,2323286.0,30.1,,56748.5588666341
276,2019-07-31 15,40.54,2543251.0,30.5,,62734.361124815
277,2019-07-31 16,41.22,2525001.0,31.5,,61256.69577874818
278,2019-07-31 17,39.7,2361686.0,31.2,,59488.31234256927
279,2019-07-31 18,34.7,2014158.0,31.2,,58044.89913544668
280,2019-07-31 19,25.08,1321.3,30.5,,52.683413078149925
281,2019-07-31 20,22.52,448433.0,29.6,,19912.65541740675
282,2019-07-31 21,22.24,98463.0,26.7,,4427.293165467626
283,2019-08-01 10,37.42,23631.0,13.8,,631.507215392838
284,2019-08-01 11,40.58,520594.0,17.4,,12828.831936914738
285,2019-08-01 12,35.34,1245308.0,22.1,,35237.91737408036
286,2019-08-01 13,37.34,1899.58,27.7,,50.872522763792176
287,2019-08-01 14,41.68,2364268.0,31.1,,56724.280230326294
288,2019-08-01 15,43.78,2584331.0,31.2,,59029.94518044769
289,2019-08-01 16,40.84,2622264.0,31.7,,64208.22722820764
290,2019-08-01 17,34.8,2494592.0,32.8,,71683.67816091955
291,2019-08-01 18,24.32,2097979.0,31.8,,86265.58388157895
292,2019-08-01 19,19.340000000000003,1501306.0,31.5,,77626.99069286452
293,2019-08-01 20,18.18,583113.0,31.0,,32074.422442244224
294,2019-08-02 10,40.22,29251.0,15.0,,727.274987568374
295,2019-08-02 11,37.98,389244.0,17.9,,10248.657187993682
296,2019-08-02 12,33.379999999999995,1024.9,22.5,,30.70401437986819
297,2019-08-02 13,34.52,1799.5,26.1,,52.129200463499416
298,2019-08-02 14,37.92,2343577.0,31.5,,61803.190928270036
299,2019-08-02 15,34.96,2400785.0,31.2,,68672.33981693364
300,2019-08-02 16,30.78,1818.54,31.1,,59.081871345029235
301,2019-08-02 17,26.86,2063243.0,31.8,,76814.70588235294
302,2019-08-02 18,25.42,1286729.0,30.7,,50618.764752163646
303,2019-08-02 19,24.48,1194471.0,32.6,,48793.75
304,2019-08-02 20,24.12,736667.0,30.7,,30541.7495854063
305,2019-08-03 10,22.68,22627.0,15.7,,997.663139329806
306,2019-08-03 11,23.04,461443.0,18.9,,20027.907986111113
307,2019-08-03 12,22.08,1185255.0,20.1,,53680.02717391305
308,2019-08-03 13,21.8,1835.67,22.2,,84.20504587155963
309,2019-08-03 14,21.74,2275347.0,24.4,,104661.77552897885
310,2019-08-03 15,21.42,2505677.0,25.3,,116978.3846872082
311,2019-08-03 16,25.04,2562948.0,27.8,,102354.1533546326
